Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year
Gladiator,Ridley Scott,67.0,155.0,8.5,R,David FranzoniJohn LoganWilliam Nicholson,Action,2000
Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,81.0,163.0,7.7,PG-13,Tom CruiseHayley AtwellVing Rhames,Action,2023
Rebel Moon - Part Two: The Scargiver,Zack Snyder,35.0,122.0,5.2,PG-13,Zack SnyderKurt JohnstadShay Hatten,Action,2024
Inglourious Basterds,Quentin Tarantino,69.0,153.0,8.4,R,Brad PittDiane KrugerEli Roth,Adventure,2009
Borderlands,Eli Roth,66.9,116.3,7.1,R,Eli RothJoe Crombie,Action,2024
Jurassic Park,Steven Spielberg,68.0,127.0,8.2,PG-13,Michael CrichtonDavid Koepp,Action,1993
The Fifth Element,Luc Besson,52.0,126.0,7.6,PG-13,Luc BessonRobert Mark Kamen,Action,1997
Inside Out,Pete Docter,94.0,95.0,8.1,PG,Pete DocterRonnie Del CarmenMeg LeFauve,Animation,2015
Descendants: The Rise of Red,Jennifer Phang,66.9,116.3,7.1,TV-G,Rita OraJoshua ColleyChina Anne McClain,Action,2024
Wish,Chris Buck,47.0,95.0,5.6,PG,Jennifer LeeAllison MooreChris Buck,Animation,2023
The Hunger Games,Gary Ross,68.0,142.0,7.2,PG-13,Gary RossSuzanne CollinsBilly Ray,Action,2012
Rebel Moon - Part One: A Child of Fire,Zack Snyder,31.0,133.0,5.6,PG-13,Zack SnyderKurt JohnstadShay Hatten,Action,2023
Harry Potter and the Sorcerer's Stone,Chris Columbus,65.0,152.0,7.6,PG,Daniel RadcliffeRupert GrintEmma Watson,Adventure,2001
Wonka,Paul King,66.0,116.0,7.0,PG,Roald DahlPaul KingSimon Farnaby,Adventure,2023
Inception,Christopher Nolan,74.0,148.0,8.8,PG-13,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,Action,2010
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,92.0,178.0,8.9,PG-13,J.R.R. TolkienFran WalshPhilippa Boyens,Action,2001
Twister,Jan de Bont,68.0,113.0,6.5,PG-13,Helen HuntBill PaxtonCary Elwes,Action,1996
Damsel,Juan Carlos Fresnadillo,46.0,110.0,6.1,PG-13,Millie Bobby BrownRay WinstoneAngela Bassett,Action,2024
Dune,David Lynch,41.0,137.0,6.3,PG-13,Kyle MacLachlanVirginia MadsenFrancesca Annis,Action,1984
Arthur the King,Simon Cellan Jones,54.0,107.0,7.0,PG-13,Mark WahlbergSimu LiuJuliet Rylance,Adventure,2024
Kung Fu Panda 4,Mike Mitchell,54.0,94.0,6.3,PG,Jonathan AibelGlenn BergerDarren Lemke,Animation,2024
Mad Max Beyond Thunderdome,George Miller,71.0,107.0,6.2,PG-13,Terry HayesGeorge MillerByron Kennedy,Action,1985
Manjummel Boys,Chidambaram,66.9,116.3,8.4,R,Soubin ShahirSreenath BhasiBalu Varghese,Adventure,2024
Golden Kamuy,Shigeaki Kubo,66.9,116.3,6.4,R,Kento YamazakiAnna YamadaYûma Yamoto,Action,2024
Interstellar,Christopher Nolan,74.0,169.0,8.7,PG-13,Matthew McConaugheyAnne HathawayJessica Chastain,Adventure,2014
Planet of the Apes,Franklin J. Schaffner,79.0,112.0,8.0,G,Michael WilsonRod SerlingPierre Boulle,Adventure,1968
Barbie,Greta Gerwig,80.0,114.0,6.8,PG-13,Margot RobbieRyan GoslingIssa Rae,Adventure,2023
Twisters,Lee Isaac Chung,66.9,116.3,7.1,PG-13,Mark L. SmithJoseph KosinskiMichael Crichton,Action,2024
The Hunger Games: The Ballad of Songbirds & Snakes,Francis Lawrence,54.0,157.0,6.7,PG-13,Rachel ZeglerTom BlythViola Davis,Action,2023
Inside Out 2,Kelsey Mann,66.9,100.0,7.1,PG,Amy PoehlerPhyllis SmithLewis Black,Animation,2024
Bad Boys: Ride or Die,Adil El Arbi,66.9,116.3,7.1,R,Will SmithMartin LawrenceVanessa Hudgens,Action,2024
Mad Max 2: The Road Warrior,George Miller,77.0,96.0,7.6,R,Terry HayesGeorge MillerBrian Hannant,Action,1981
Godzilla Minus One,Takashi Yamazaki,81.0,124.0,7.9,PG-13,Ryunosuke KamikiMinami HamabeSakura Andô,Action,2023
Love Lies Bleeding,Rose Glass,77.0,104.0,6.7,R,Anna BaryshnikovKristen StewartDave Franco,Action,2024
Dawn of the Planet of the Apes,Matt Reeves,79.0,130.0,7.6,PG-13,Mark BombackRick JaffaAmanda Silver,Action,2014
Planet of the Apes,Tim Burton,50.0,120.0,5.7,PG-13,Pierre BoulleWilliam Broyles Jr.Lawrence Konner,Action,2001
Mad Max,George Miller,73.0,88.0,6.8,R,James McCauslandGeorge MillerByron Kennedy,Action,1979
War for the Planet of the Apes,Matt Reeves,82.0,140.0,7.4,PG-13,Mark BombackMatt ReevesRick Jaffa,Action,2017
Ghostbusters: Frozen Empire,Gil Kenan,46.0,115.0,6.2,PG-13,Gil KenanJason ReitmanIvan Reitman,Adventure,2024
Thelma the Unicorn,Jared Hess,64.0,93.0,5.8,PG,Brittany HowardWill ForteJon Heder,Animation,2024
Dune,Denis Villeneuve,74.0,155.0,8.0,PG-13,Jon SpaihtsDenis VilleneuveEric Roth,Action,2021
The Garfield Movie,Mark Dindal,31.0,101.0,5.9,PG,Paul A. KaplanMark TorgoveDavid Reynolds,Animation,2024
Godzilla x Kong: The New Empire,Adam Wingard,47.0,115.0,6.2,PG-13,Terry RossioAdam WingardSimon Barrett,Action,2024
Madame Web,S.J. Clarkson,26.0,116.0,3.9,PG-13,Matt SazamaBurk SharplessClaire Parker,Action,2024
Civil War,Alex Garland,75.0,109.0,7.4,R,Kirsten DunstWagner MouraCailee Spaeny,Action,2024
Mad Max: Fury Road,George Miller,90.0,120.0,8.1,R,Tom HardyCharlize TheronNicholas Hoult,Action,2015
Atlas,Brad Peyton,37.0,118.0,5.6,PG-13,Jennifer LopezSimu LiuSterling K. Brown,Action,2024
Dune: Part Two,Denis Villeneuve,79.0,166.0,8.6,PG-13,Timothée ChalametZendayaRebecca Ferguson,Action,2024
Kingdom of the Planet of the Apes,Wes Ball,66.0,145.0,7.2,PG-13,Owen TeagueFreya AllanKevin Durand,Action,2024
Furiosa: A Mad Max Saga,George Miller,79.0,148.0,7.9,R,Anya Taylor-JoyChris HemsworthTom Burke,Action,2024
WALL·E,Andrew Stanton,95.0,98.0,8.4,G,Andrew StantonPete DocterJim Reardon,Animation,2008
Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos,66.9,116.3,7.1,R,Shameik MooreHailee SteinfeldBrian Tyree Henry,Animation,2015
Hercules,Ron Clements,74.0,93.0,7.3,G,Ron ClementsJohn MuskerDon McEnery,Animation,1997
Sing,Garth Jennings,59.0,108.0,7.1,PG,Matthew McConaugheyReese WitherspoonSeth MacFarlane,Animation,2016
Castle in the Sky,Hayao Miyazaki,78.0,125.0,8.0,PG,Hayao MiyazakiJonathan Swift,Animation,1986
"Monsters, Inc.",Pete Docter,79.0,92.0,8.1,G,Pete DocterJill CultonJeff Pidgeon,Animation,2001
Tangled,Nathan Greno,71.0,100.0,7.7,PG,Mandy MooreZachary LeviDonna Murphy,Animation,2010
Up,Pete Docter,88.0,96.0,8.3,PG,Pete DocterBob PetersonTom McCarthy,Animation,2009
Toy Story,John Lasseter,96.0,81.0,8.3,G,John LasseterPete DocterAndrew Stanton,Animation,1995
Puss in Boots: The Last Wish,Joel Crawford,73.0,102.0,7.8,PG,Paul FisherTommy SwerdlowTom Wheeler,Animation,2022
Encanto,Jared Bush,75.0,102.0,7.2,PG,Charise Castro SmithJared BushByron Howard,Animation,2021
Coco,Lee Unkrich,81.0,105.0,8.4,PG,Lee UnkrichJason KatzMatthew Aldrich,Animation,2017
Frozen,Chris Buck,75.0,102.0,7.4,PG,Jennifer LeeHans Christian AndersenChris Buck,Animation,2013
Mufasa: The Lion King,Barry Jenkins,66.9,116.3,7.1,R,Linda WoolvertonIrene MecchiJonathan Roberts,Animation,2024
Howl's Moving Castle,Hayao Miyazaki,82.0,119.0,8.2,PG,Chieko BaishôTakuya KimuraTatsuya Gashûin,Animation,2004
Zootopia,Byron Howard,78.0,108.0,8.0,PG,Byron HowardRich MooreJared Bush,Animation,2016
Teenage Mutant Ninja Turtles: Mutant Mayhem,Jeff Rowe,74.0,99.0,7.2,PG,Seth RogenEvan GoldbergJeff Rowe,Animation,2023
Kung Fu Panda,Mark Osborne,74.0,92.0,7.6,PG,Jonathan AibelGlenn BergerEthan Reiff,Animation,2008
