Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year,Genre Value
Gladiator,Ridley Scott,0.6292134831460674,0.4022140221402214,0.8214285714285714,R,David FranzoniJohn LoganWilliam Nicholson,Action,0.768518518518519,0.0
Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,0.7865168539325843,0.43173431734317336,0.6785714285714286,PG-13,Tom CruiseHayley AtwellVing Rhames,Action,0.981481481481481,0.0
Rebel Moon - Part Two: The Scargiver,Zack Snyder,0.2696629213483146,0.28044280442804426,0.2321428571428572,PG-13,Zack SnyderKurt JohnstadShay Hatten,Action,0.9907407407407405,0.0
Inglourious Basterds,Quentin Tarantino,0.651685393258427,0.3948339483394834,0.8035714285714286,R,Brad PittDiane KrugerEli Roth,Adventure,0.8518518518518512,0.058823529411764705
Borderlands,Eli Roth,0.6280898876404495,0.2594095940959409,0.5714285714285714,R,Eli RothJoe Crombie,Action,0.9907407407407405,0.0
Jurassic Park,Steven Spielberg,0.6404494382022472,0.29889298892988925,0.7678571428571428,PG-13,Michael CrichtonDavid Koepp,Action,0.7037037037037024,0.0
The Fifth Element,Luc Besson,0.4606741573033708,0.2952029520295203,0.6607142857142858,PG-13,Luc BessonRobert Mark Kamen,Action,0.7407407407407405,0.0
Inside Out,Pete Docter,0.9325842696629213,0.18081180811808115,0.75,PG,Pete DocterRonnie Del CarmenMeg LeFauve,Animation,0.9074074074074048,0.1176470588235294
Descendants: The Rise of Red,Jennifer Phang,0.6280898876404495,0.2594095940959409,0.5714285714285714,TV-G,Rita OraJoshua ColleyChina Anne McClain,Action,0.9907407407407405,0.0
Wish,Chris Buck,0.4044943820224719,0.18081180811808115,0.3035714285714286,PG,Jennifer LeeAllison MooreChris Buck,Animation,0.981481481481481,0.1176470588235294
The Hunger Games,Gary Ross,0.6404494382022472,0.35424354243542433,0.5892857142857144,PG-13,Gary RossSuzanne CollinsBilly Ray,Action,0.8796296296296298,0.0
Rebel Moon - Part One: A Child of Fire,Zack Snyder,0.22471910112359547,0.3210332103321033,0.3035714285714286,PG-13,Zack SnyderKurt JohnstadShay Hatten,Action,0.981481481481481,0.0
Harry Potter and the Sorcerer's Stone,Chris Columbus,0.6067415730337079,0.3911439114391143,0.6607142857142858,PG,Daniel RadcliffeRupert GrintEmma Watson,Adventure,0.777777777777775,0.058823529411764705
Wonka,Paul King,0.6179775280898877,0.2583025830258302,0.5535714285714286,PG,Roald DahlPaul KingSimon Farnaby,Adventure,0.981481481481481,0.058823529411764705
Inception,Christopher Nolan,0.7078651685393259,0.3763837638376383,0.8750000000000002,PG-13,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,Action,0.8611111111111107,0.0
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,0.9101123595505617,0.48708487084870844,0.892857142857143,PG-13,J.R.R. TolkienFran WalshPhilippa Boyens,Action,0.777777777777775,0.0
